species,treatment,observed_mean,expected_median,expected_parametric,deviation_pct,direction,significant,scenario_id,scenario_type,n_species_full_scope
Dascyllus aruanus,6,10,30,29.666666666666668,-66.29213483146067,Below Expected,TRUE,top_015_by_abundance,ranked_top_N,15
Paragobiodon modestus,3,8.333333333333334,9,9.5,-12.280701754385959,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Paragobiodon modestus,6,16.333333333333332,19,19,-14.035087719298252,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Apataxia cerithiiformis,3,7.666666666666666,3,3,155.55555555555554,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Apataxia cerithiiformis,6,27,6,6,350,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Galathea mauritiana,3,5.833333333333334,4,8.5,-31.37254901960784,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Galathea mauritiana,6,14.666666666666666,9,17,-13.725490196078436,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Athanas djiboutensis,3,6.666666666666667,3,5.166666666666667,29.032258064516128,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Athanas djiboutensis,6,14.666666666666666,10,10.333333333333334,41.93548387096773,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Dascyllus flavicaudus,3,5.666666666666667,7,7.333333333333334,-22.727272727272727,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Dascyllus flavicaudus,6,11.666666666666666,14,14.666666666666668,-20.454545454545464,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Alpheus lottini,3,6.833333333333333,5,5.166666666666667,32.25806451612902,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Alpheus lottini,6,13,10,10.333333333333334,25.80645161290322,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Synalpheus charon,3,5.5,5,4.833333333333334,13.793103448275847,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Synalpheus charon,6,10,10,9.666666666666668,3.448275862068953,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Diala albugo,3,4.833333333333333,2,2.5,93.33333333333333,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Diala albugo,6,16,5,5,220,Proportional,FALSE,top_015_by_abundance,ranked_top_N,15
Fennera chacei,3,51.83333333333333,100,102.16666666666667,-49.265905383360526,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Fennera chacei,6,97.33333333333333,204,204.33333333333334,-52.365415986949436,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Galeropsis monodonta,3,64,47,49,30.612244897959183,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Galeropsis monodonta,6,116.66666666666667,97,98,19.047619047619055,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Periclimenes watamuae,3,22.333333333333332,19,26.666666666666668,-16.25000000000001,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Periclimenes watamuae,6,11,46,53.333333333333336,-79.37500000000001,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Trapezia serenei,3,18.5,14,14,32.142857142857146,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Trapezia serenei,6,39.666666666666664,28,28,41.666666666666664,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Harpiliopsis spinigera,3,16,15,16.5,-3.0303030303030303,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Harpiliopsis spinigera,6,23.666666666666668,32,33,-28.28282828282828,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Calcinus latens,3,16,9,9.833333333333332,62.711864406779675,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Calcinus latens,6,23,19,19.666666666666664,16.949152542372897,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Dascyllus aruanus,3,13,14,14.833333333333334,-12.359550561797757,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Dascyllus aruanus,6,10,30,29.666666666666668,-66.29213483146067,Below Expected,TRUE,top_020_by_abundance,ranked_top_N,20
Paragobiodon modestus,3,8.333333333333334,9,9.5,-12.280701754385959,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Paragobiodon modestus,6,16.333333333333332,19,19,-14.035087719298252,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Apataxia cerithiiformis,3,7.666666666666666,3,3,155.55555555555554,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Apataxia cerithiiformis,6,27,6,6,350,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Galathea mauritiana,3,5.833333333333334,4,8.5,-31.37254901960784,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Galathea mauritiana,6,14.666666666666666,9,17,-13.725490196078436,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Athanas djiboutensis,3,6.666666666666667,3,5.166666666666667,29.032258064516128,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Athanas djiboutensis,6,14.666666666666666,10,10.333333333333334,41.93548387096773,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Dascyllus flavicaudus,3,5.666666666666667,7,7.333333333333334,-22.727272727272727,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Dascyllus flavicaudus,6,11.666666666666666,14,14.666666666666668,-20.454545454545464,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Alpheus lottini,3,6.833333333333333,5,5.166666666666667,32.25806451612902,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Alpheus lottini,6,13,10,10.333333333333334,25.80645161290322,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Synalpheus charon,3,5.5,5,4.833333333333334,13.793103448275847,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Synalpheus charon,6,10,10,9.666666666666668,3.448275862068953,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Diala albugo,3,4.833333333333333,2,2.5,93.33333333333333,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Diala albugo,6,16,5,5,220,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Cerithium zebrum,3,5.833333333333333,3,3.666666666666667,59.090909090909065,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Cerithium zebrum,6,11.333333333333334,7,7.333333333333334,54.54545454545454,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Chlorodiella barbata,3,5.666666666666666,2,2.5,126.66666666666666,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Chlorodiella barbata,6,9,4,5,80,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Hargeria rapax,3,3.166666666666667,4,3.4999999999999996,-9.523809523809504,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Hargeria rapax,6,9,7,6.999999999999999,28.571428571428587,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Diala semistriata,3,2.333333333333333,2,2.5,-6.6666666666666785,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Diala semistriata,6,9.333333333333334,5,5,86.66666666666667,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Luniella pugil,3,2,2,2.833333333333333,-29.411764705882344,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Luniella pugil,6,7,5,5.666666666666666,23.5294117647059,Proportional,FALSE,top_020_by_abundance,ranked_top_N,20
Fennera chacei,3,51.83333333333333,100,102.16666666666667,-49.265905383360526,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Fennera chacei,6,97.33333333333333,204,204.33333333333334,-52.365415986949436,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Galeropsis monodonta,3,64,47,49,30.612244897959183,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Galeropsis monodonta,6,116.66666666666667,97,98,19.047619047619055,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Periclimenes watamuae,3,22.333333333333332,19,26.666666666666668,-16.25000000000001,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Periclimenes watamuae,6,11,46,53.333333333333336,-79.37500000000001,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Trapezia serenei,3,18.5,14,14,32.142857142857146,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Trapezia serenei,6,39.666666666666664,28,28,41.666666666666664,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Harpiliopsis spinigera,3,16,15,16.5,-3.0303030303030303,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Harpiliopsis spinigera,6,23.666666666666668,32,33,-28.28282828282828,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Calcinus latens,3,16,9,9.833333333333332,62.711864406779675,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Calcinus latens,6,23,19,19.666666666666664,16.949152542372897,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Dascyllus aruanus,3,13,14,14.833333333333334,-12.359550561797757,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Dascyllus aruanus,6,10,30,29.666666666666668,-66.29213483146067,Below Expected,TRUE,top_025_by_abundance,ranked_top_N,25
Paragobiodon modestus,3,8.333333333333334,9,9.5,-12.280701754385959,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Paragobiodon modestus,6,16.333333333333332,19,19,-14.035087719298252,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Apataxia cerithiiformis,3,7.666666666666666,3,3,155.55555555555554,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Apataxia cerithiiformis,6,27,6,6,350,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Galathea mauritiana,3,5.833333333333334,4,8.5,-31.37254901960784,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Galathea mauritiana,6,14.666666666666666,9,17,-13.725490196078436,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Athanas djiboutensis,3,6.666666666666667,3,5.166666666666667,29.032258064516128,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Athanas djiboutensis,6,14.666666666666666,10,10.333333333333334,41.93548387096773,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Dascyllus flavicaudus,3,5.666666666666667,7,7.333333333333334,-22.727272727272727,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Dascyllus flavicaudus,6,11.666666666666666,14,14.666666666666668,-20.454545454545464,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Alpheus lottini,3,6.833333333333333,5,5.166666666666667,32.25806451612902,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Alpheus lottini,6,13,10,10.333333333333334,25.80645161290322,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Synalpheus charon,3,5.5,5,4.833333333333334,13.793103448275847,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Synalpheus charon,6,10,10,9.666666666666668,3.448275862068953,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Diala albugo,3,4.833333333333333,2,2.5,93.33333333333333,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Diala albugo,6,16,5,5,220,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Cerithium zebrum,3,5.833333333333333,3,3.666666666666667,59.090909090909065,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Cerithium zebrum,6,11.333333333333334,7,7.333333333333334,54.54545454545454,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Chlorodiella barbata,3,5.666666666666666,2,2.5,126.66666666666666,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Chlorodiella barbata,6,9,4,5,80,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Hargeria rapax,3,3.166666666666667,4,3.4999999999999996,-9.523809523809504,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Hargeria rapax,6,9,7,6.999999999999999,28.571428571428587,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Diala semistriata,3,2.333333333333333,2,2.5,-6.6666666666666785,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Diala semistriata,6,9.333333333333334,5,5,86.66666666666667,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
Luniella pugil,3,2,2,2.833333333333333,-29.411764705882344,Proportional,FALSE,top_025_by_abundance,ranked_top_N,25
